BAC # 	Name 	Vector 	E.coli 	Pieces 	#CLONE 	Chr 	GenBank AC# 	Seq Length 	LENGTH No NS
1 	ZMMBBb-129C1 	pBeloBAC11 	DH10B 	3 	b0129C01 	3 	AC217265 	130719 	130519
2 	ZMMBBb-129C9 	pBeloBAC11 	DH10B 	19 	b0129C09 	4 	AC189277 	185974 	184174
3 	ZMMBBb-129C12 	pBeloBAC11 	DH10B 	7 	b0129C12 	4 	AC219083 	122339 	121739
4 	ZMMBBb-129C23 	pBeloBAC11 	DH10B 	1 	b0129C23 	1 	AC217266 	109225 	109225
5 	ZMMBBb-129D2 	pBeloBAC11 	DH10B 	8 	b0129D02 	4 	AC193409 	134882 	134182
6 	ZMMBBb-129D21 	pBeloBAC11 	DH10B 	5 	b0129D21 	5 	AC197240 	132532 	132132
7 	ZMMBBb-129E4 	pBeloBAC11 	DH10B 	6 	b0129E04 	2 	AC211896 	130082 	129581
8 	ZMMBBb-129E17 	pBeloBAC11 	DH10B 	6 	b0129E17 	6 	AC206057 	133625 	133125
9 	ZMMBBc-527A10 	pTARBAC1.3 	DH10B 	7 	c0527A10 	9 	AC210150 	167383 	166783
10 	ZMMBBc-527A23 	pTARBAC1.3 	DH10B 	23 	c0527A23 	8 	AC187243 	181696 	179496
11 	ZMMBBc-527B3 	pTARBAC1.3 	DH10B 	5 	c0527B03 	2 	AC210522 	178651 	178251
12 	ZMMBBc-527B6 	pTARBAC1.3 	DH10B 	4 	c0527B06 	3 	AC187832 	204949 	204649
